path	author	header	created	sphere	topic	style	audience_age	audience_level	audience_size	source	publication	publ_year	medium	country	region	language
plain/2017/3/22/В Дубне поймали алиментщика.txt	Мария Ватолина	В Дубне поймали алиментщика	22.03.2017	публицистика	Безопасность	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/proisshestviya/3495-v-dubne-pojmali-alimentshchika	Открытая Дубна	2017	газета	Россия	город Дубна, Московская область	ru
plain/2017/3/21/Дать инвестору или не дать.txt	Наталия Теряева	Дать инвестору или не дать?	21.03.2017	публицистика	Экономика	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/ekonomika/3494-dat-investoru-ili-ne-dat	Открытая Дубна	2017	газета	Россия	город Дубна, Московская область	ru
plain/2017/3/21/Найдите ваш дом в программе капремонта.txt	Кирилл Свояков	Найдите ваш дом в программе капремонта	21.03.2017	публицистика	ЖКХ	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/zhkkh/3493-najdite-vash-dom-v-programme-kapremonta	Открытая Дубна	2017	газета	Россия	город Дубна, Московская область	ru
plain/2017/3/21/Помогите обновить логотип Фестиваля молодежи и студентов.txt	ОД	Помогите обновить логотип Фестиваля молодежи и студентов	21.03.2017	публицистика	Общество	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/obshchestvo/3492-pomogite-obnovit-logotip-festivalya-molodezhi-i-studentov	Открытая Дубна	2017	газета	Россия	город Дубна, Московская область	ru
plain/2017/3/21/Читать детям, пассажирам, водителям и пешеходам.txt	ОД	Читать детям, пассажирам, водителям и пешеходам	21.03.2017	публицистика	None	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/8-glavnoe/3491-chitat-detyam-passazhiram-voditelyam-i-peshekhodam	Открытая Дубна	2017	газета	Россия	город Дубна, Московская область	ru
plain/2017/3/21/ФНС Дубны научит платить налоги и взносы.txt	ОД	ФНС Дубны научит платить налоги и взносы	21.03.2017	публицистика	None	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/8-glavnoe/3490-fns-dubny-nauchit-platit-nalogi-i-vznosy	Открытая Дубна	2017	газета	Россия	город Дубна, Московская область	ru
plain/2017/3/21/Вице-президент Академии наук и технологий Вьетнама в ОИЯИ.txt	ОД	Вице-президент Академии наук и технологий Вьетнама в ОИЯИ	21.03.2017	публицистика	Наука	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/nauka/3518-vitse-prezident-akademii-nauk-i-tekhnologij-vetnama-v-oiyai	Открытая Дубна	2017	газета	Россия	город Дубна, Московская область	ru
plain/2017/3/20/Ремонтом подъездов в Подмосковье займутся дизайнеры.txt	Никита Крутиков	Ремонтом подъездов в Подмосковье займутся дизайнеры	20.03.2017	публицистика	ЖКХ	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/zhkkh/3489-remontom-pod-ezdov-v-podmoskove-zajmutsya-dizajnery	Открытая Дубна	2017	газета	Россия	город Дубна, Московская область	ru
plain/2017/3/20/Как вернуть доверие к управляющим компаниям.txt	Кирилл Свояков	Как вернуть доверие к управляющим компаниям	20.03.2017	публицистика	Новости бизнеса	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/partner/3488-kak-vernut-doverie-k-upravlyayushchim-kompaniyam-7	Открытая Дубна	2017	газета	Россия	город Дубна, Московская область	ru
plain/2017/3/20/Дни ОИЯИ в Сербии.txt	Кирилл Свояков	Дни ОИЯИ в Сербии	20.03.2017	публицистика	Наука	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/nauka/3517-dni-oiyai-v-serbii	Открытая Дубна	2017	газета	Россия	город Дубна, Московская область	ru
plain/2017/3/19/Рок без слов собрал аншлаг в Дубне.txt	Наталия Теряева	Рок без слов собрал аншлаг в Дубне	19.03.2017	публицистика	Новости бизнеса	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/partner/3481-rok-bez-slov-sobral-anshlag-v-dubne	Открытая Дубна	2017	газета	Россия	город Дубна, Московская область	ru
plain/2017/3/19/В пустующие коворкинги Подмосковья будут завлекать посетителей.txt	Екатерина Славская	В пустующие коворкинги Подмосковья будут завлекать посетителей	19.03.2017	публицистика	Экономика	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/ekonomika/3480-v-pustuyushchie-kovorkingi-podmoskovya-budut-zavlekat-posetitelej	Открытая Дубна	2017	газета	Россия	город Дубна, Московская область	ru
